Question,Option,Fill_Level,Ring_Fill_Level,X_Coord,Y_Coord
1,A,0.0689,0.0845,195,153
1,B,0.9139,0.3131,262,153
1,C,0.0686,0.0910,329,153
1,D,0.0794,0.0675,396,153
2,A,0.0833,0.0948,195,241
2,B,0.0914,0.0770,262,241
2,C,0.0712,0.0689,329,241
2,D,0.9067,0.1721,396,241
3,A,0.7863,0.1224,195,329
3,B,0.0798,0.0881,262,329
3,C,0.0692,0.0685,329,329
3,D,0.0953,0.0684,396,329
4,A,0.0765,0.0750,195,417
4,B,0.9131,0.1772,262,417
4,C,0.0612,0.0776,329,417
4,D,0.0762,0.0646,396,417
5,A,0.0703,0.0629,195,505
5,B,0.9088,0.1842,262,505
5,C,0.0789,0.0646,329,505
5,D,0.1033,0.0666,396,505
6,A,0.0799,0.0711,195,593
6,B,0.0736,0.0701,262,593
6,C,0.9385,0.1958,329,593
6,D,0.0768,0.0604,396,593
